Image Name	Image Position			Image Orientation						Trigger Time
	x	y	z	x1	x2	x3	y1	y2	y3	

rvot	57.9639	-130.4319	196.5401	-0.31651	0.9405	-0.1236	0.039423	-0.11715	-0.99233	645

aorta1	-4.4093	-133.2175	205.0934	0.3206	0.93934	-0.12186	-0.19809	-0.059319	-0.97839	645
aorta2	-9.9669	-131.1906	206.0957	0.3206	0.93934	-0.12186	-0.19809	-0.059319	-0.97839	642.5
aorta3	-15.5245	-129.1637	207.0981	0.3206	0.93934	-0.12186	-0.19809	-0.059319	-0.97839	645

short1	-64.79092018	-149.2424163	203.9896669	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short2	-60.72801487	-152.643318	201.1742334	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short3	-56.6651086	-156.0442198	198.3587999	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short4	-52.60220234	-159.4451216	195.5433664	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short5	-48.53929607	-162.8460244	192.7279329	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short6	-44.47638987	-166.2469257	189.9124994	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short7	-40.41348354	-169.6478277	187.0970621	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short8	-36.35057728	-173.0487298	184.2816286	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short9	-32.28767101	-176.4496316	181.4661951	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short10	-28.2247657	-179.8505334	178.6507616	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short11	-24.16185944	-183.2514352	175.8353281	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short12	-20.09895317	-186.6523369	173.0198946	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short13	-16.03604691	-190.0532397	170.2044591	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short14	-11.97314255	-193.4541415	167.3890256	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short15	-7.910234375	-196.8550433	164.5735921	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short16	-3.847330017	-200.2559451	161.7581586	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short17	0.215578156	-203.6568469	158.9427232	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short18	4.278482514	-207.0577487	156.1272897	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short19	8.341390686	-210.4586505	153.3118562	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short20	12.40429504	-213.8595523	150.4964218	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short21	16.46720322	-217.2604541	147.6809878	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short22	20.53011139	-220.6613558	144.865554	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short23	24.59301575	-224.0622576	142.05012	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short24	28.65592011	-227.4631594	139.2346861	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short25	32.71882446	-230.8640612	136.4192519	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short26	36.78173645	-234.264963	133.6038179	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short27	40.84464081	-237.6658686	130.7883844	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	692.5
short28	44.90754517	-241.0667704	127.9729499	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short29	48.97044952	-244.4676722	125.1575155	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short30	53.03335388	-247.868574	122.342082	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695
short31	57.09626587	-251.2694758	119.5266485	0.641870036	0.766813443	1.49194E-07	-0.359818605	0.301190485	-0.883071267	695

long12	-140.4113841	-134.897319	-67.78901504	0.991455257	-0.072858918	-0.108203752	0.123492274	0.791464515	0.598609706	642.5
long11	-135.9066934	-162.3885965	-17.15205396	0.967805542	-0.008014496	-0.251571463	0.1205465	0.892166366	0.435324841	645
long10	-124.492222	-174.924165	45.89507789	0.907868724	-0.010868099	-0.419113666	0.113080999	0.968963049	0.219825607	645
long9	-108.2798847	-162.9871841	112.3958331	0.822592895	-0.111597017	-0.557572449	0.102459417	0.993592573	-0.04770605	642.5
long8	-93.65867698	-127.2294544	165.112761	0.745421993	-0.28203554	-0.603988416	0.092847198	0.9411798	-0.324899955	645
long7	20.88217422	-191.6006724	164.9058416	-0.420342163	0.901573561	-0.10236005	0.546427262	0.161459225	-0.821795696	642.5
long6	70.4416126	-166.9109767	175.1916274	-0.554072827	0.824710786	-0.113381751	0.390571133	0.13725461	-0.910283122	642.5
long5	-99.12867223	96.07724003	148.2190111	0.693225903	-0.710290558	0.122168616	0.193799779	0.020443207	-0.980828079	642.5
long4	-93.49114955	101.4312059	149.470321	0.787334406	-0.604062169	0.123342734	0.057980357	-0.126627292	-0.990254415	642.5
long3	-91.19016927	110.1183949	144.0670132	0.871992129	-0.475016719	0.118274441	-0.040585804	-0.310935695	-0.949563998	642.5
long2	-98.1029809	114.3959482	132.3180008	0.942111701	-0.317697148	0.107210376	-0.071986197	-0.503935581	-0.860736265	642.5
long1	-112.4420889	109.947339	118.9454843	0.984049545	-0.150733818	0.094476505	-0.026913487	-0.651113919	-0.758502688	642.5

coronal1	-167.7043085	-90.97066498	217.9585381	1	0	0	0	0	-1	612.5
coronal2	-167.7043085	-84.97066498	217.9585381	1	0	0	0	0	-1	615
coronal3	-167.7043085	-78.97066498	217.9585381	1	0	0	0	0	-1	612.5
coronal4	-167.7043085	-72.97066498	217.9585381	1	0	0	0	0	-1	612.5
coronal5	-167.7043085	-66.97066498	217.9585381	1	0	0	0	0	-1	612.5
coronal6	-167.7043085	-60.97066498	217.9585381	1	0	0	0	0	-1	612.5
coronal7	-167.7043085	-54.97066498	217.9585381	1	0	0	0	0	-1	615
coronal8	-167.7043085	-48.97066498	217.9585381	1	0	0	0	0	-1	612.5
coronal9	-167.7043085	-42.97066498	217.9585381	1	0	0	0	0	-1	612.5
coronal10	-167.7043085	-36.97066498	217.9585381	1	0	0	0	0	-1	612.5
coronal11	-167.7043085	-30.97066689	217.9585381	1	0	0	0	0	-1	612.5
coronal12	-167.7043085	-24.97066689	217.9585381	1	0	0	0	0	-1	612.5
coronal13	-167.7043085	-18.97066689	217.9585381	1	0	0	0	0	-1	612.5
coronal14	-167.7043085	-12.97066689	217.9585381	1	0	0	0	0	-1	615
coronal15	-167.7043085	-6.970666409	217.9585381	1	0	0	0	0	-1	615
coronal16	-167.7043085	-0.970666587	217.9585381	1	0	0	0	0	-1	615
coronal17	-167.7043085	5.029333591	217.9585381	1	0	0	0	0	-1	612.5
coronal18	-167.7043085	11.02933311	217.9585381	1	0	0	0	0	-1	612.5
coronal19	-167.7043085	17.02933311	217.9585381	1	0	0	0	0	-1	615

transverse1	-153.8453369	-160.3102554	-30.8259964	1	0	0	0	1	0	615
transverse2	-153.8453369	-160.3102554	-24.8259964	1	0	0	0	1	0	615
transverse3	-153.8453369	-160.3102554	-18.8259964	1	0	0	0	1	0	615
transverse4	-153.8453369	-160.3102554	-12.8259964	1	0	0	0	1	0	615
transverse5	-153.8453369	-160.3102554	-6.825996399	1	0	0	0	1	0	615
transverse6	-153.8453369	-160.3102554	-0.825996399	1	0	0	0	1	0	612.5
transverse7	-153.8453369	-160.3102554	5.174003601	1	0	0	0	1	0	612.5
transverse8	-153.8453369	-160.3102554	11.1740036	1	0	0	0	1	0	612.5
transverse9	-153.8453369	-160.3102554	17.1740036	1	0	0	0	1	0	615
transverse10	-153.8453369	-160.3102554	23.1740036	1	0	0	0	1	0	615
transverse11	-153.8453369	-160.3102554	29.1740036	1	0	0	0	1	0	615
transverse12	-153.8453369	-160.3102554	35.1740036	1	0	0	0	1	0	612.5
transverse13	-153.8453369	-160.3102554	41.1740036	1	0	0	0	1	0	612.5
transverse14	-153.8453369	-160.3102554	47.1740036	1	0	0	0	1	0	615
transverse15	-153.8453369	-160.3102554	53.1740036	1	0	0	0	1	0	615
transverse16	-153.8453369	-160.3102554	59.1740036	1	0	0	0	1	0	612.5
transverse17	-153.8453369	-160.3102554	65.1740036	1	0	0	0	1	0	612.5
transverse18	-153.8453369	-160.3102554	71.1740036	1	0	0	0	1	0	612.5
transverse19	-153.8453369	-160.3102554	77.1740036	1	0	0	0	1	0	615
transverse20	-153.8453369	-160.3102554	83.1740036	1	0	0	0	1	0	612.5
transverse21	-153.8453369	-160.3102554	89.1740036	1	0	0	0	1	0	612.5
transverse22	-153.8453369	-160.3102554	95.1740036	1	0	0	0	1	0	615
transverse23	-153.8453369	-160.3102554	101.1740036	1	0	0	0	1	0	612.5
transverse24	-153.8453369	-160.3102554	107.1740036	1	0	0	0	1	0	665
