# EXPERIMENT FOR desorted data distribution
# N	AVG	WST	IWS
100	402	84	101	183
200	2274	186	140	458
300	5183	292	212	761
400	9151	400	367	1057
500	1511	605	407	1339
600	9410	633	457	1722
700	5192	814	513	2115
800	17254	906	642	2315
900	48052	836	687	3034
1000	47670	1060	719	3043
2000	201641	2612	1526	6335
3000	3174	2010	2920	9957
4000	92137	3247	2986	14512
5000	1448841	3130	3727	18992
6000	910916	3864	4527	23328
7000	1011413	5892	5158	25927
8000	2053453	5569	6054	29944
9000	2782360	6615	6984	36053
10000	5951815	7146	7788	40836
20000	23744475	15154	14891	87375
30000	53649031	22322	22872	130590
40000	95074041	28750	30822	183221
50000	95074041	36142	39324	228836
60000	95074041	44721	46191	275578
70000	95074041	51644	54554	337167
80000	95074041	57898	62751	385327
90000	95074041	67456	70953	433476
100000	95074041	74765	77164	482454
200000	95074041	151784	157401	1010272
300000	95074041	225223	236690	1612466
400000	95074041	304487	310697	2141111
500000	95074041	378396	389757	2641066
600000	95074041	438095	456349	3298433
700000	95074041	563603	549541	3858021
800000	95074041	617618	623884	4438332
900000	95074041	684774	700511	4955159
