# EXPERIMENT FOR random data distribution
# N	AVG	WST	IWS
100	37	45	39	36
200	73	77	69	77
300	112	109	102	112
400	149	148	142	152
500	333	260	181	333
600	260	219	209	200
700	366	351	236	273
800	318	508	269	382
900	357	301	277	350
1000	274	339	313	233
2000	791	683	622	839
3000	1075	1085	919	781
4000	2250	1319	1176	1755
5000	2897	1755	1772	2996
6000	2922	2211	2043	2909
7000	4082	2306	2069	4230
8000	3183	3048	2545	2843
9000	4812	3265	2773	4973
10000	5569	3710	3374	4769
20000	12391	8067	7071	13790
30000	15202	11315	8891	15260
40000	14971	15874	14042	15798
50000	30976	23849	15074	31238
60000	33904	23154	19144	32821
70000	24532	26752	23810	25661
80000	60984	31856	30886	55040
90000	33802	46366	32011	28952
100000	26972	41390	33317	25532
200000	95426	83573	62500	94873
300000	160708	127718	96578	137712
400000	206374	176926	128095	200741
500000	240286	217563	165507	185443
600000	345402	259568	204031	362125
700000	328369	308777	229086	320709
800000	527885	403777	304690	605669
900000	577342	472404	327462	578844
1000000	830028	440704	321134	811504
2000000	879400	904766	648234	890174
3000000	1524303	1383392	987955	1532401
4000000	1843298	1859602	1301889	1841257
5000000	2296098	2371920	1670556	2316290
6000000	3268759	2799423	1988996	3270065
7000000	2555273	3308116	2282856	2574626
8000000	4185573	3814748	2607924	4186292
9000000	4313480	4334731	2980904	4317911
