# EXPERIMENT FOR random data distribution
# N	AVG	WST	IWS	IQS
100	48	65	93	50
200	129	109	105	143
300	139	153	140	169
400	161	201	191	167
500	193	257	273	304
600	232	294	358	284
700	320	368	362	300
800	369	444	414	381
900	436	507	483	440
1000	940	567	531	952
2000	1642	1064	1010	1616
3000	1940	1668	1576	2552
4000	2091	2235	2022	2843
5000	2035	2929	2488	2975
6000	4374	3451	3091	4683
7000	3721	3913	3882	3741
8000	5808	5546	4268	6721
9000	4851	5118	4617	4764
10000	7767	5362	5695	4978
20000	8551	11714	8860	9122
30000	8023	16703	13681	8173
40000	18795	21294	17532	19002
50000	12466	27901	23008	12601
60000	30368	33425	26406	28811
70000	33458	38131	31564	34772
80000	39753	44561	36139	39631
90000	69321	50164	40823	69980
100000	49662	56345	45848	47816
200000	101315	117354	91728	100218
300000	173345	196142	157891	187123
400000	222747	240460	189783	220039
500000	209589	293019	226239	210199
600000	332986	369760	287616	323577
700000	323463	426641	322720	319192
800000	460534	474800	365284	438481
900000	417826	560529	425107	395971
1000000	801930	599651	466323	822152
2000000	797378	1234230	930692	796775
3000000	1581464	1887487	1388909	1608840
4000000	1317324	2625854	1849913	1332845
5000000	2286978	3274591	2354810	2269880
6000000	3861684	3990842	2834656	3808449
7000000	3375975	4521046	3232973	3351767
8000000	4138664	5223681	3721337	4108701
9000000	3910481	5804499	4132422	3870315
