# EXPERIMENT FOR sorted data distribution
# N	AVG	WST	IWS
100	186	39	46	110
200	1694	60	135	208
300	4006	103	90	377
400	7180	125	124	494
500	11248	157	147	660
600	10635	173	186	847
700	19146	208	200	992
800	20402	254	261	1144
900	18451	542	281	1306
1000	25377	663	295	1490
2000	179023	652	598	3036
3000	383621	951	1044	4886
4000	613392	1820	1213	6674
5000	1087994	3608	1432	8884
6000	1174126	7159	1755	10721
7000	1585161	6065	2035	12471
8000	1917719	10167	2476	14739
9000	2345539	11750	2555	18441
10000	4453541	13149	2921	19726
20000	8897513	25750	5878	41410
30000	20112667	41319	8757	63160
40000	35664348	55564	11455	85827
50000	35664348	72175	13630	106031
60000	35664348	88190	16269	128029
70000	35664348	102982	19948	157043
80000	35664348	123161	24165	185906
90000	35664348	141293	25422	205994
100000	35664348	161257	27891	225150
200000	35664348	346574	59080	482544
300000	35664348	531401	86177	786431
400000	35664348	706260	116103	1009022
500000	35664348	884662	142985	1266509
600000	35664348	1092954	176955	1621922
700000	35664348	1313035	207771	1871963
800000	35664348	1495611	246838	2177535
900000	35664348	1688212	258022	2415803
